id,name,category_name,price,quantity_sold
420774,Sách tiếng Anh - Wordsworth Classics : Alice Adventures In Wonderland and Through The Looking-Glass,Sách nước ngoài,168750,8
279414577,Sách ngoại văn: The Shadow Of Gods,Sách nước ngoài,407000,1
279241873,Sách ngoại văn: Sách Ngoại Văn - Books of Dan Brown,Sách nước ngoài,783000,3
279030243,Sách ngoại văn: Bunbun & Bonbon #3: Captain Bun & Super Bonbon: A Graphix Chapters Book,Sách nước ngoài,165300,1
276546325,Everything You Need To Ace Geometry In One Big Fat Notebook,Sách nước ngoài,436500,2
274677397,The Presentation Secrets Of Steve Jobs: How To Be Insanely Great In Front Of Any Audience,Sách nước ngoài,537200,4
274354270,Sách Healthy Me: Exercise And Play,Sách nước ngoài,203000,5
272303089,Personal Best American B2 Upper intermediate Pack A (SB+WB+e-learning),Sách nước ngoài,236000,34
270636721,A History of Vietnam in Pictures: The Collapse of the Lê sơ (In Colour),Sách nước ngoài,157250,1
198783490,English World 5 Dictionary,Sách nước ngoài,62000,4
171213023,Collins Easy Learning Preschool - Starting School Ages 3-5,Sách nước ngoài,69000,10
171045897,English Ages 3-5,Sách nước ngoài,89000,7
168774205,i-Learn Smart Maths Grade 5 Student's Book Part 1 (ENG-VN),Sách nước ngoài,156000,17
279236413,Sách ngoại văn:  English Grammar in Use Book w Ans,Sách nước ngoài,214200,5
279230660,Sách ngoại văn: Sách Ngoại Văn - Family and Friends,Sách nước ngoài,167000,0
279212049,Sách ngoại văn: Marketing 7.0 - A Guide For Thinking Marketers In The Age Of AI,Sách nước ngoài,730900,2
279143564,Watership Down,Sách nước ngoài,275080,1
279038515,Sách ngoại văn: Illustration 2025,Sách nước ngoài,970600,1
279027501,Sách ngoại văn: Harry Potter and the Order of the Phoenix (2015),Sách nước ngoài,336700,3
278786408,Sách Diary of a Wimpy Kid #20: Partypooper (UK Edition - Hardcover),Sách nước ngoài,359000,12
278445163,Sách - Principles for Dealing with the Changing World Order: Why Nations Succeed or Fail by Ray Dalio,Sách nước ngoài,880000,4
278058351,Sách ngoại văn: Kid's Box New Generation - Pupil's Book With Ebook 1,Sách nước ngoài,400600,3
277583061,"Sách - The castle by Franz Kafka - Sách tiếng anh, bìa mềm/ Fiction/Novel",Sách nước ngoài,280000,3
274675261,Voices Intermediate B1: Student's Book BRE + OLP/EBK CSTM (Vietnam Edition),Sách nước ngoài,313200,15
274419130,A2 Key For Schools 2 For The Revised 2020 Exam SB With Answers With Audio With Resource Bank,Sách nước ngoài,238600,51
274287321,Sách Zero Days,Sách nước ngoài,375000,4
274142757,The Bad Guys #16: The Bad Guys In The Others?!,Sách nước ngoài,169000,6
32222291,Harry Potter and the Deathly Hallows,Sách nước ngoài,346200,7
2613103,The Man In The Brown Suit,Sách nước ngoài,162800,14
279034673,Sách ngoại văn: Dog Man - Book 4 - Dog Man And Cat Kid,Sách nước ngoài,267900,1
278794533,Sách - A Tale of Two Cities (Wordsworth Classics) by Charles Dickens | English Fiction,Sách nước ngoài,180000,2
278794130,Sách - The Best of Sherlock Holmes by Sir Arthur Conan Doyle | Classic Novel / Ngoại văn Nhập khẩu,Sách nước ngoài,180000,1
278492733,Sách - Combo Từ Điển Anh - Anh - Việt Oxford Learner’s Pocket MCBooks,Sách nước ngoài,110000,4
278192563,"Sách - Influence, New and Expanded: The Psychology of Persuasion by Robert B Cialdini PhD/Business Culture›Motivation & Self-Improvement",Sách nước ngoài,420000,11
278017134,Sách ngoại văn: Oxf Phonics World 2 Student Book New,Sách nước ngoài,441600,7
277978214,Sách ngoại văn: Oxford Phonics World 1 - The Alphabet - Student's Book,Sách nước ngoài,441600,13
276828546,Psychology: A Complete Introduction: Teach Yourself,Sách nước ngoài,529000,4
274144017,Minecraft: The Crash: An Official Minecraft Novel,Sách nước ngoài,269000,4
273317880,Norwegian Wood,Sách nước ngoài,239000,18
270340701,Artbook - Sách Tiếng Anh - Middlemarch,Sách nước ngoài,800000,1
263202244,How Not To Die: Discover The Foods Scientifically Proven To Prevent And Reverse Disease,Sách nước ngoài,359000,3
