id,name,feature_name,feature_name_original,shap_value,feature_value,shap_value_percent
332528,Sách Oxford Idioms Dictionary for Learners of English (New Edition),Mức giảm giá,discount_rate,0.10744041509145166,10,21.622232965604088
332528,Sách Oxford Idioms Dictionary for Learners of English (New Edition),Thể loại: Sách nước ngoài,cat_Sách nước ngoài,0.10086255162780577,True,20.298447162041953
332528,Sách Oxford Idioms Dictionary for Learners of English (New Edition),Có đánh giá,has_rating,0.100835219347365,1,20.292946578907863
332528,Sách Oxford Idioms Dictionary for Learners of English (New Edition),Điểm đánh giá,rating_average,0.08857318599112149,5.0,17.825229550497014
332528,Sách Oxford Idioms Dictionary for Learners of English (New Edition),Thể loại: Sách tiếng Việt,cat_Sách tiếng Việt,0.060573905448845715,False,12.190413580742248
332528,Sách Oxford Idioms Dictionary for Learners of English (New Edition),"Thể loại: Truyện tranh, Manga","cat_Truyện tranh, Manga",0.02343429549811436,False,4.716119127180762
332528,Sách Oxford Idioms Dictionary for Learners of English (New Edition),Giá bán,price,-0.015020272219146836,413600,3.0228087340573198
332528,Sách Oxford Idioms Dictionary for Learners of English (New Edition),Thể loại: Sách giáo khoa,cat_Sách giáo khoa,0.00015802495618195628,False,0.031802300968748705
339739,Truyện thiếu nhi tiếng Anh - Diary Of A Wimpy Kid 04 : Dog Days (Paperback),Điểm đánh giá,rating_average,-0.17383182975925457,0.0,47.322706388080455
339739,Truyện thiếu nhi tiếng Anh - Diary Of A Wimpy Kid 04 : Dog Days (Paperback),Có đánh giá,has_rating,-0.0942493278106399,0,25.657747913220746
339739,Truyện thiếu nhi tiếng Anh - Diary Of A Wimpy Kid 04 : Dog Days (Paperback),Thể loại: Sách nước ngoài,cat_Sách nước ngoài,0.03757215909868295,True,10.228369889770201
339739,Truyện thiếu nhi tiếng Anh - Diary Of A Wimpy Kid 04 : Dog Days (Paperback),Mức giảm giá,discount_rate,-0.026382648647834114,0,7.182219375073185
339739,Truyện thiếu nhi tiếng Anh - Diary Of A Wimpy Kid 04 : Dog Days (Paperback),Thể loại: Sách tiếng Việt,cat_Sách tiếng Việt,0.019541263813249082,False,5.319770787473837
339739,Truyện thiếu nhi tiếng Anh - Diary Of A Wimpy Kid 04 : Dog Days (Paperback),"Thể loại: Truyện tranh, Manga","cat_Truyện tranh, Manga",0.00974802364026786,False,2.653730684600954
339739,Truyện thiếu nhi tiếng Anh - Diary Of A Wimpy Kid 04 : Dog Days (Paperback),Giá bán,price,0.00533399747413067,199000,1.4520884736278281
339739,Truyện thiếu nhi tiếng Anh - Diary Of A Wimpy Kid 04 : Dog Days (Paperback),Thể loại: Sách giáo khoa,cat_Sách giáo khoa,-0.0006735652836659731,False,0.18336648815279463
347334,Sách Có Hai Con Mèo Ngồi Bên Cửa Sổ,Điểm đánh giá,rating_average,0.1276472387800263,4.7,27.77850728682586
347334,Sách Có Hai Con Mèo Ngồi Bên Cửa Sổ,Thể loại: Sách tiếng Việt,cat_Sách tiếng Việt,-0.0985864707615478,True,21.454322260362307
347334,Sách Có Hai Con Mèo Ngồi Bên Cửa Sổ,Có đánh giá,has_rating,0.06595000461016318,1,14.35199618212407
347334,Sách Có Hai Con Mèo Ngồi Bên Cửa Sổ,Giá bán,price,0.05186763123922026,80000,11.287399446313191
347334,Sách Có Hai Con Mèo Ngồi Bên Cửa Sổ,Mức giảm giá,discount_rate,0.0407012680802447,20,8.857382915258523
347334,Sách Có Hai Con Mèo Ngồi Bên Cửa Sổ,Thể loại: Sách giáo khoa,cat_Sách giáo khoa,-0.036880409470697616,False,8.025890203456575
